,中文名稱,登記地址
98,麗堡大飯店,262宜蘭縣礁溪鄉玉石村礁溪路六段6號3-6樓
99,麗翔溫泉客棧,"262宜蘭縣礁溪鄉玉石村礁溪路六段6號1-2,7-9樓"
100,利美溫泉旅館,262宜蘭縣礁溪鄉德陽路110號1-4樓
101,亞仕登旅社,262宜蘭縣礁溪鄉忠孝路7號
102,名人旅館,262宜蘭縣礁溪鄉德陽路136號
103,宜泰大飯店,265宜蘭縣羅東鎮公正路155號6-13樓
104,新堡汽車旅館,265宜蘭縣羅東鎮竹林里復興路二段238巷19號
105,每日溫泉旅店,262宜蘭縣礁溪鄉德陽村7鄰德陽路65號
106,紅葉旅館,262宜蘭縣礁溪鄉德陽路193號
107,頤和商務旅館,262宜蘭縣礁溪鄉德陽路47號
108,皇泰大飯店,262宜蘭縣礁溪鄉仁愛路100號1-6樓
109,高仕旅館,262宜蘭縣礁溪鄉德陽路154號1-5樓
110,東京大飯店,262宜蘭縣礁溪鄉德陽路257號1-5樓
111,凱城山莊,262宜蘭縣礁溪鄉大忠村大忠路144號1-4樓
112,山水妍?泉會館,262宜蘭縣礁溪鄉德陽村仁愛路50號
113,富翔大飯店,260宜蘭縣宜蘭市校舍路19號
114,玫瑰園汽車旅館,260宜蘭縣宜蘭市宜興路三段61號1-2樓
115,成都溫泉旅館,262宜蘭縣礁溪鄉德陽村忠孝路5號1-4樓
116,馥蜂溫泉旅館,262宜蘭縣礁溪鄉忠孝路3號1-4樓
117,富泉大飯店,262宜蘭縣礁溪鄉礁溪路五段93號1-4樓
118,和風溫泉會館,262宜蘭縣礁溪鄉德陽村德陽路30號
119,和風溫泉會館-礁溪店,262宜蘭縣礁溪鄉礁溪路五段97號
120,和風嘉一溫泉大飯店,262宜蘭縣礁溪鄉德陽路16號
121,凱麗溫泉飯店,262宜蘭縣礁溪鄉溫泉路38號
122,芝加哥商務汽車旅館,262宜蘭縣礁溪鄉白雲村礁溪路七段50號
123,溫沙堡花園汽車旅館,262宜蘭縣礁溪鄉大忠村大忠路219號
124,礁溪天使溫泉商旅,262宜蘭縣礁溪鄉礁溪路六段12號
125,若輕新人文渡假旅館,268宜蘭縣五結鄉季新村新店路113號1-3樓
126,賓士旅館,262宜蘭縣礁溪鄉德陽村礁溪路五段21號
127,藝術家溫泉會館,262宜蘭縣礁溪鄉德陽路98號
128,玉泉旅館,262宜蘭縣礁溪鄉仁愛路14號
129,憶金香商務汽車旅館,262宜蘭縣礁溪鄉吳沙村礁溪路一段97號
130,夢雲閣旅社,262宜蘭縣礁溪鄉信義路5號
131,英格蘭旅館,260宜蘭縣宜蘭市茭白里中山路5段127巷6號1-4樓
132,川湯春天溫泉飯店,262宜蘭縣礁溪鄉德陽村德陽路43號1-8樓
133,真欣渡假飯店,"268宜蘭縣五結鄉協和里公園路98巷17,19號"
134,春和大飯店,262宜蘭縣礁溪鄉仁愛路26號1-4樓
135,棲蘭山莊(馬告生態公園),267宜蘭縣大同鄉太平村2鄰泰雅路四段6號
136,集東旅社,270宜蘭縣蘇澳鎮東澳里1鄰蘇花路3段150號
137,華王大旅社,265宜蘭縣羅東鎮公正里3鄰中正北路41號
138,明池大飯店,262宜蘭縣礁溪鄉大忠村五峰路9號
139,西樺商務客棧,265宜蘭縣羅東鎮公正路155號4樓
140,天方夜譚旅館,260宜蘭縣宜蘭市筊白里中山路五段127巷31號1樓
141,野景大飯店,262宜蘭縣礁溪鄉大忠村大忠路142號1-6樓
142,礁溪東旅湯宿,262宜蘭縣礁溪鄉德陽村信義路32號1-3樓
143,雪山溫泉會館,262宜蘭縣礁溪鄉德陽村中山路二段159號(3至8樓)
144,華園溫泉旅館,262宜蘭縣礁溪鄉德陽村德陽路75號1至5樓
145,冠翔世紀溫泉會館,262宜蘭縣礁溪鄉德陽村仁愛路66巷6號
146,春湯溫泉飯店,"262宜蘭縣礁溪鄉德陽路26,28號1-3樓"
147,新貴汽車旅館,270宜蘭縣蘇澳鎮蘇南里中正路35號
148,立都大飯店,270宜蘭縣蘇澳鎮蘇東里蘇東北路2-63、2-65號1-4樓
149,愛琴海花園汽車旅館,268宜蘭縣五結鄉四結村仁愛路2段1號
150,天然旅館,262宜蘭縣礁溪鄉德陽村德陽路71號
151,晶樺商務飯店,265宜蘭縣羅東鎮大新里中正北路42號7-8樓
152,亞諾時尚戀館,262宜蘭縣礁溪鄉德陽村仁愛路3號
153,怡蘭精品旅館,268宜蘭縣五結鄉鎮安村二結路305號
154,晏京精品旅館,"265宜蘭縣羅東鎮光榮路402,406,408號"
155,杜拜時尚戀館,260宜蘭縣宜蘭市新生里大福路二段70、70之1、70之2號
156,木棉道美學商旅 (6-7F),265宜蘭縣羅東鎮中山里中山路三段306號6-7樓
157,瓏山林蘇澳冷熱泉度假飯店,270宜蘭縣蘇澳鎮中原路301之1號1至10樓
158,東森海洋溫泉酒店(一、二館),261宜蘭縣頭城鎮濱海路四段32、36號(客房數34間)
159,心曠神怡溫泉渡假飯店,262宜蘭縣礁溪鄉德陽村仁愛路29號1樓、4樓至11樓
160,湯泉之家溫泉渡假行館,262宜蘭縣礁溪鄉信義路34巷16號
161,自然風會館,262宜蘭縣礁溪鄉忠孝路97巷26號及28號
162,湯仔城旅館,262宜蘭縣礁溪鄉德陽村7鄰仁愛路15巷16號
163,城市商旅-礁溪楓葉館,262宜蘭縣礁溪鄉德陽村礁溪路五段118號1-6樓
164,金玉旅館,260宜蘭縣宜蘭市新興里和睦路28-2號3樓
165,木棉道美學商旅(2-5F),265宜蘭縣羅東鎮中山路三段306號2-5樓
166,東森海洋溫泉酒店(三館),261宜蘭縣頭城鎮濱海路四段30號
167,全美旅社,260宜蘭縣宜蘭市和睦路28之5號6樓、28之6號7樓
168,綠動湯泉原宿,262宜蘭縣礁溪鄉玉石村12鄰公園路85號
169,歐遊精品旅館宜蘭分館,260宜蘭縣宜蘭市新生里宜興路三段185號
170,靜界會館,262宜蘭縣礁溪鄉玉石村公園路70巷39弄16.18.20.22號
171,香格里拉休閒農場,269宜蘭縣冬山鄉大進村梅山路168號
172,冒煙的石頭溫泉渡假旅館,262宜蘭縣礁溪鄉德陽村信義路34巷33號
173,觀海旭日渡假中心,263宜蘭縣壯圍鄉大福村壯濱路六段278號
174,伍拾捌度湯苑溫泉旅店,262宜蘭縣礁溪鄉德陽村礁溪路五段61號2樓
175,慕夏精品旅館,260宜蘭縣宜蘭市大東里新民路62、62-1、62-2、62-3、62-4、62-5、62-6號
176,雅閣溫泉行館,262宜蘭縣礁溪鄉玉石村忠孝路107號
177,天下居汽車旅館,260宜蘭縣宜蘭市中山路五段105號
178,泉鄉雅舍溫泉渡假行館,262宜蘭縣礁溪鄉德陽村信義路40號1樓及信義路34巷8號3樓之1、之2、之3、之5、之6、之7、之8、之9、之10、之11
179,泉鄉風華休閒會館,262宜蘭縣礁溪鄉德陽村德陽路95號
180,百事亨通‧幸福‧星空精品旅店,265宜蘭縣公正路27號9-12樓之1-5
181,紅燈籠汽車旅館,262宜蘭縣礁溪鄉德陽村中山路二段246號
182,史塔瑞麗 佧美‧奧之湯 溫泉旅館,262宜蘭縣礁溪鄉玉石村健康一街116號2、3、4、5、6、7樓
183,原湯旅店,262宜蘭縣礁溪鄉德陽村7鄰仁愛路6號1-5樓
184,綠寶汽車旅館,260宜蘭縣宜蘭市新生里大福路二段108巷1-10號、12號、14號、16號
185,豪美日月光大飯店,262宜蘭縣礁溪鄉德陽村礁溪路五段182號
186,9號溫泉旅店,262宜蘭縣礁溪鄉溫泉路85號4-6樓
187,第五季國際旅店,265宜蘭縣羅東鎮中正北路42號6樓
188,捷絲旅礁溪館,262宜蘭縣礁溪鄉德陽村德陽路24巷8號.10號
189,夜市橙堡渡假旅館,260宜蘭縣宜蘭市大新里1鄰新民路19號
190,安禾時尚旅館,265宜蘭縣羅東鎮大同路22之2號3樓
191,北觀休閒農場,261宜蘭縣頭城鎮更新路203-1、203-8號
192,皓迪精品旅館,265宜蘭縣羅東鎮公正路38號
193,伊士脈泉旅,262宜蘭縣礁溪鄉玉石村忠孝路97巷72號二樓、三樓之一、三樓之二及四樓
194,山那邊溫泉會館,262宜蘭縣礁溪鄉信義路36號、信義路34巷8號2樓之1、2、3、5、6、7、8
195,多愛溫泉會館,262宜蘭縣礁溪鄉信義路34巷8號(8、10、12號合併)
196,園仔湯商旅,262宜蘭縣礁溪鄉德陽路33號1-4樓
197,晶泉丰旅,262宜蘭縣礁溪鄉溫泉路67號2至10樓
198,煙波大飯店蘇澳館,270宜蘭縣蘇澳鎮中正路38號2-12樓
199,詠集旅館,262宜蘭縣礁溪鄉公園路72號
200,頭城印象溫泉休閒飯店,261宜蘭縣頭城鎮環鎮東路二段357號2樓、3樓
201,和睦二十六旅店,260宜蘭縣宜蘭市和睦路26號
202,樂亞香草藝術旅店,265宜蘭縣羅東鎮公正里林森路68號3樓
203,羅東幸福商旅,265宜蘭縣羅東鎮中山路三段62號、66號
204,礁溪廿一號溫泉旅店,262宜蘭縣礁溪鄉信義路34巷21號1樓
205,非杋精品汽車旅館,260宜蘭縣宜蘭市宜興路三段181號
