登記證核准日期,登記證核准編號,營業現狀,中文名稱,英文名稱,電話,傳真,網址,E-mail,登記地址,英文地址
2004/8/5,18,合法/營業,夏威夷汽車旅館,Hawaii Commerce Motel,39288333,39289222,,,260宜蘭縣宜蘭市宜興路三段101號,"No.101, Sec. 3, Yixing Rd., Yilan City, Yilan County 260, Taiwan (R.O.C.)"
2004/8/5,19,合法/營業,威尼斯汽車旅館,Wei Ni Xi Motel,39577000,39565000,,,265宜蘭縣羅東鎮站東路326號,"No.326, Zhandong Rd., Luodong Township, Yilan County 265, Taiwan (R.O.C.)"
2004/8/31,20,合法/營業,香賓旅社, Champagne HOTEL,39885816,39881764,,xtoshi@hotmail.com,262宜蘭縣礁溪鄉忠孝路8號,"No.8, Zhongxiao Rd., Jiaosi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/8/31,21,合法/營業,香格里拉冬山河旅館,SHANGRILA BOUTIQUE HOTEL,39605388,39605366,,sang.riia@msa.hinet.net,268宜蘭縣五結鄉協和村協和中路13巷15號,"No.15, Gongyuan 2nd Rd., Wujie Township, Yilan County 268, Taiwan (R.O.C.)"
2004/8/31,22,合法/營業,日新旅社,Ri Xin Hotel,39545110,39542836,http://rixin.yibnb.net/,,265宜蘭縣羅東鎮中山西街17-1號,"No.17-1, Zhongshan W. St., Luodong Township, Yilan County 265, Taiwan (R.O.C.)"
2004/8/26,23,合法/營業,華欣旅館,Hua Xin Hotel,39882369,39882512,,,262宜蘭縣礁溪鄉礁溪路五段70號,"No.70, Sec. 5, Jiaoxi Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/8/26,24,合法/營業,福星旅社,Fu Xing Hotel,39323652,,,,260宜蘭縣宜蘭市康樂路15號,"No.15, Kangle Rd., Yilan City, Yilan County 260, Taiwan (R.O.C.)"
2004/9/1,25,合法/營業,亞都旅館,Ya Dou Hotel,39885704,,,,262宜蘭縣礁溪鄉礁溪路五段15號,"No.15, Sec. 5, Jiaoxi Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/9/1,26,合法/營業,東海峰旅館,Dong Hai Feng Hotel,39986336,3,,,270宜蘭縣蘇澳鎮蘇花路3段190號,"No.190, Sec. 3, Suhua Rd., Su’ao Township, Yilan County 270, Taiwan (R.O.C.)"
2004/9/6,27,合法/營業,愛娜山莊,ai Na Hotel,39886205,,,,262宜蘭縣礁溪鄉德陽路175號1-4樓,"1F.-4, No.175, Deyang Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/8/17,29,合法/營業,晏林旅館,Yan Lin Hotel,39885172,,,,262宜蘭縣礁溪鄉德陽路131號1-3樓,"1F.-3, No.131, Deyang Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/8/17,30,合法/營業,藍佳大飯店,DIAMOND HOTEL,39562186,,,,265宜蘭縣羅東鎮中山里19鄰興東路6號5-6樓,"5-6F., No.6, Xingdong Rd., Luodong Township, Yilan County 265, Taiwan (R.O.C.)"
2004/8/19,32,合法/營業,鴻月莊旅社,HUNG YUEH HOTEL,39883699,39882025,http://moon9883799@yahoo.com.tw,,262宜蘭縣礁溪鄉德陽村溫泉路12號1-4樓,"1-4F., No.12, Wenquan Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/8/19,33,合法/營業,夢芝鄉旅社,Meng Zhi Xiang Hotel,39873845,,,,262宜蘭縣礁溪鄉德陽路96號1-5樓,"1F.-5, No.96, Deyang Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/9/6,34,合法/營業,興華旅社,Xing Hua Hotel,39962581,,,,270宜蘭縣蘇澳鎮蘇南里蘇南路13號,"No.13, Sunan Rd., Su’ao Township, Yilan County 270, Taiwan (R.O.C.)"
2004/9/6,35,合法/營業,阿先湯泉養生會館,A SAN HOT-SPRING HOTEL,39887299,39872858,http://www.vipspa.com.tw/,gotovipvip@yahoo.com.tw,262宜蘭縣礁溪鄉德陽村忠孝路103巷22弄1號1-4樓,"No.1, Alley 22, Lane 103, Zhongxiao Rd., Jiaoxi Shiang, Yilan County 262, Taiwan (R.O.C.)"
2004/9/7,37,合法/營業,櫻花別墅旅館,Ying Hua Hotel,39229677,39650447,,,264宜蘭縣員山鄉員山村金泰路348巷36、38號,"No.36, Ln. 348, Jintai Rd., Yuanshan Township, Yilan County 264, Taiwan (R.O.C.)"
2004/9/8,40,合法/停業,龍泉溫泉客棧,Long Quan hot spring Hotel,39882268,39873030,http://www.dragon-inn.com.tw/,,262宜蘭縣礁溪鄉玉石村礁溪路六段10號,"No.10, Sec. 6, Jiaoxi Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/9/8,42,合法/營業,賓成精品商旅,Bin Cheng Hotel,39333661,39328187,,,260宜蘭縣宜蘭市西後街26-1號,"No.26-1, Xihou St., Yilan City, Yilan County 260, Taiwan (R.O.C.)"
2004/9/8,43,合法/營業,家園溫泉旅社,Homeland Hot Spring Hotel,39882171,,,home.land@msa.hinet.net,262宜蘭縣礁溪鄉溫泉路10號,"No.10, Wenquan Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/9/23,45,合法/營業,亞洲旅社,Ya Zhou Hotel,039964085 0985090494,3,,,270宜蘭縣蘇澳鎮蘇南里3鄰蘇南路18號,"No.18, Sunan Rd., Su’ao Township, Yilan County 270, Taiwan (R.O.C.)"
2004/9/23,46,合法/營業,和風時尚會館,Hefong Faddism Hotel,39777711,39776688,http://www.hefong-villa.com.tw/,,261宜蘭縣頭城鎮宜三路一段56號,"No.56, Sec. 1, Yi 3rd Rd., Toucheng Township, Yilan County 261, Taiwan (R.O.C.)"
2004/9/23,47,合法/營業,伯斯飯店,GRAND BOSS HOTEL,39312999,39312899,,boss@boss-hotel.com.tw,260宜蘭縣宜蘭市宜興路一段366號2-6樓,"No.366, Sec. 1, Yixing Rd., Yilan City, Yilan County 260, Taiwan (R.O.C.)"
2004/9/23,48,合法/營業,東寶複合式旅館,Orinet-Jewel Youth Hostel,39544186,39544187,http://oj.hotel.my9s.com,oj.hotel@gamil.com,265宜蘭縣羅東鎮青潭路154號,"No.154, Cingtan Rd., Luodong Township, Yilan County 265, Taiwan (R.O.C.)"
2004/9/23,49,合法/營業,新悅汽車旅館,HSIN YUE MOTEL,39952345,39960877,,,270宜蘭縣蘇澳鎮蘇東里蘇東北路2-15號,"No.2-15, Sudong N. Rd., Su’ao Township, Yilan County 270, Taiwan (R.O.C.)"
2004/9/23,50,合法/營業,友愛大飯店,YOAI Hotel,39363456,39369222,http://www.yoai-hotel.com.tw,hotel@yoai.com.tw,260宜蘭縣宜蘭市舊城東路50號11-16樓,"11-16F., No.50, Jioucheng East Rd., Yilan City, Yilan County 260, Taiwan (R.O.C.)"
2004/9/23,51,合法/營業,帝王大飯店,TI WANG HOTEL,39883769,39885516,,,262宜蘭縣礁溪鄉礁溪路五段156號,"No.156, Sec. 5, Jiaoxi Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/9/23,52,合法/營業,龍城大旅社,LONG CHERNG HOTET,39545100,39545101,http://www.longchernh.url.tw,,265宜蘭縣羅東鎮公園路96號,"No.96, Gongyuan Rd., Luodong Township, Yilan County 265, Taiwan (R.O.C.)"
2004/9/23,53,合法/營業,鄉都溫泉旅館,Xiang Dou Hotel,39886018,,,,262宜蘭縣礁溪鄉德陽村13鄰礁溪路5段27號,"No.27, Sec. 5, Jiaoxi Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/10/4,55,合法/營業,金龍溫泉客棧,KING-LO HOTEL,39882133,39887501,http://www.klhotel.com.tw,klhotel.cail@msa.hinet.net,262宜蘭縣礁溪鄉德陽村2鄰中山路二段185號,"No.185, Sec. 2, Zhongshan Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/10/4,56,合法/營業,華賓旅社,Hua Bin Hotel,39322962,,,,260宜蘭縣宜蘭市和睦路59號1-2樓,"1F.-2, No.59, Hemu Rd., Yilan City, Yilan County 260, Taiwan (R.O.C.)"
2004/10/4,58,合法/營業,雪峰蝶戀溫泉會館,Chang Lai Hotel,39887667,,,,262宜蘭縣礁溪鄉德陽村德陽路132號1-3樓,"1F.-3, No.132, Deyang Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/10/24,59,合法/營業,金羅東大飯店,KING LO TUNG HOTEL,039563131-4,39563135,,king_lo_tong@yahoo.com.tw,265宜蘭縣羅東鎮興東路8-1號7-9樓,"7-9F., No.8-1, Xingdong Rd., Luodong Township, Yilan County 265, Taiwan (R.O.C.)"
2004/10/4,60,合法/營業,同榮大旅社,Tuengrueng Hotel,39577979,39567700,,glory_hotel@yahoo.com.tw,265宜蘭縣羅東鎮中正北路32號7-10樓,"7-10F., No.32, Zhongzheng N. Rd., Luodong Township, Yilan County 265, Taiwan (R.O.C.)"
2004/10/19,62,合法/營業,星輝溫泉旅館,XingHui hotel,39874922,39874515,,,262宜蘭縣礁溪鄉德陽村德陽路199號1-3樓,"1-3F., No.199, Deyang Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/10/19,63,合法/營業,美嘉美大飯店,MEI JIA MEI HOTEL,39882937,39887328,http://www.meihotel.com,t9882937@ms47.hinet.net,262宜蘭縣礁溪鄉德陽路150號,"No.150, Deyang Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/10/19,64,合法/營業,可青大飯店,KING HOTEL,"393,249,669,358,037",39331107,,king@kings-hotel.com.tw,"260宜蘭縣宜蘭市舊城北路30-1,3,5號","No.30-1, Jiucheng N. Rd., Yilan City, Yilan County 260, Taiwan (R.O.C.)"
2004/10/19,65,合法/營業,金格溫泉旅館,Jin Ge hot spring Hotel,39874328,,,,262宜蘭縣礁溪鄉礁溪路五段148號1-3樓,"1F.-3, No.148, Sec. 5, Jiaoxi Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/12/1,67,合法/營業,中冠礁溪大飯店,Zhong Guan Jiao Xi Hotel,39882011,39883838,http://www.art-spa-hotel.com.tw,service@art-spa-hotel.com.tw,262宜蘭縣礁溪鄉德陽村德陽路6號1-6樓,"No.6, Deyang Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/10/19,68,合法/營業,山多利大飯店,SHANDORI HOTEL,39888288,39889411,http://www.shandori.com.tw,shan.dori@msa.hinet.net,262宜蘭縣礁溪鄉興農路291巷1號,"No.1, Ln. 291, Xingnong Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/10/19,70,合法/營業,明池山莊 (馬告生態公園),MINGCHIH RESORT,39894104,39801723,http://www.lealeahotel.com/makauy/,service_mingchih@lealeahotel.com,267宜蘭縣大同鄉英士村明池山莊1號,"No.1, Mingchin Mountain village, Datong Township, Yilan County 267, Taiwan (R.O.C.)"
2004/10/19,71,合法/營業,太平山莊,TAIPING SHAN HOTEL,39548757,39951179,,,267宜蘭縣大同鄉太平村太平巷58-1號,"No.58-1, Taiping Ln., Taiping Tsuen, Datong Township, Yilan County 267, Taiwan (R.O.C.)"
2004/10/29,72,合法/營業,自家園旅社,Zi Jia Yuan Hotel,39962367,39952467,,,270宜蘭縣蘇澳鎮林森路6號,"No.6, Linsen Rd., Su’ao Township, Yilan County 270, Taiwan (R.O.C.)"
2004/10/29,73,合法/營業,金華大旅社,GOLDEN CHINA HOTEL,39962526,,,,270宜蘭縣蘇澳鎮冷泉路1號,"No.1, Lengquan Rd., Su’ao Township, Yilan County 270, Taiwan (R.O.C.)"
2004/11/5,74,合法/營業,明光旅館,Ming Guang Hotel,39886834,,,,262宜蘭縣礁溪鄉德陽路70號1-4樓,"1F.-4, No.70, Deyang Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/11/9,75,合法/營業,綠園旅社,Lu Yuan Hotel,39875786,,,,262宜蘭縣礁溪鄉德陽路72號1-4樓,"1F.-4, No.72, Deyang Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/10/29,76,合法/營業,意大利旅館,Yi Da Li Hotel,39885998,,,,262宜蘭縣礁溪鄉德陽路258號,"No.258, Deyang Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/10/29,78,合法/營業,戀戀溫泉旅館,LIAN LIAN HOT SPRING HOTEL,39882882,39873722,,Service@Qk.to,262宜蘭縣礁溪鄉仁愛路9號1-2樓,"1-2F., No.9, Ren’ai Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/10/29,79,合法/營業,大方旅館,Da Fang Hotel,39889152,,,,"262宜蘭縣礁溪鄉德陽路223,225,227號","No.223.225.227, Deyang Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/10/29,80,合法/營業,福岡溫泉汽車旅館 (溫泉世家),Fu Gang Hot Spring Motel,39870606,39883956,http://www.fukun.com.tw,fukuncc@gmail.com,262宜蘭縣礁溪鄉德陽村仁愛路132號1-5樓,"1F.-5, No.132, Ren’ai Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/10/29,81,合法/營業,福岡溫泉渡假飯店,FU GANG HOT SPRING HOTEL,39887999,39872046,http://www.fukun.com.tw,fukuncc@gmail.com,262宜蘭縣礁溪鄉德陽村德陽路62巷6號1-6樓,"1-6F., No.6, Lane 62, Deyang Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/10/29,82,合法/營業,媚登峰旅社,MEI DENG FONG HOTEL,39874591,39882999,,,262宜蘭縣礁溪鄉公園路3號,"No.3, Gongyuan Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/10/29,83,合法/營業,帥王溫泉大飯店,Baron''s Hot-Spring Hotel,39874591,39874584,http://www.baronhotel.com.tw,hot-spring@baronhotel.com.tw,26241宜蘭縣礁溪鄉公園路1號,"No.1, Gongyuan Rd., Jiaoxi Township, Yilan County 26241, Taiwan"
2004/10/29,84,合法/營業,宜蘭礁溪溫泉商旅,Yilan Jiao Xi Hot Spring Hotel,39876222,39874333,http://yuantang.cru.com.tw ,ck@cru.com.tw,262宜蘭縣礁溪鄉德陽路198號,"No.198, Deyang Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/10/29,85,合法/停業,王子大飯店,HOTEL PRINCE,39322358,39322731,,,260宜蘭縣宜蘭市和睦路27號,"No.27, Hemu Rd., Yilan City, Yilan County 260, Taiwan (R.O.C.)"
2004/11/5,86,合法/營業,嘉美旅社,HOTEL CHIA MEI,39563126,,,,265宜蘭縣羅東鎮公園路100號6-8樓,"6-8F., No.100, Gongyuan Rd., Luodong Township, Yilan County 265, Taiwan (R.O.C.)"
2004/11/5,87,合法/營業,長崎大飯店,CHANGCHI HOTEL,39887607,39887608,,,262宜蘭縣礁溪鄉德陽村德陽路243號1-6樓,"1-6F., No.243, Deyang Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/11/9,88,合法/營業,噶瑪蘭大飯店,KAVALAN BEACH RESORT,39509000,39501388,,kvl@kvl.com.tw,268宜蘭縣五結鄉成興村五濱路一段136巷21號14樓之1,"No.21, Ln. 136, Sec. 1, Wubin Rd., Wujie Township, Yilan County 268, Taiwan (R.O.C.)"
2004/11/9,89,合法/營業,理想溫泉飯店,Li Xiang Hot Spring Hotel,39883610,,,,262宜蘭縣礁溪鄉德陽路160號1-3樓,"1F.-3, No.160, Deyang Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/11/5,90,合法/營業,山口旅館,Shan Kou Hotel,39889273,39880515,,,262宜蘭縣礁溪鄉五峰路2號1-5樓,"1F.-5, No.2, Wufeng Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/11/23,91,合法/營業,礁溪溫泉旅館,JIAU SHI HOT SPRING HOTEL,39881767,,,dong@ms1.hinet.net,262宜蘭縣礁溪鄉仁愛路8號,"No.8, Ren’ai Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/11/23,92,合法/營業,頭城休閒旅館,TOU CHENG HOTEL,39772222,39778688,,tc.farm@msa.hinet.net,261宜蘭縣頭城鎮更新路125-2號,"No.125-2, Gengxin Rd., Toucheng Township, Yilan County 261, Taiwan (R.O.C.)"
2004/12/30,93,合法/營業,蘇澳大飯店,SU AO HOTEL,039965181-2,39968641,,,270宜蘭縣蘇澳鎮蘇東中路7號6-7樓,"6-7F., No.7, Sudong Central Rd., Su’ao Township, Yilan County 270, Taiwan (R.O.C.)"
2004/11/23,94,合法/營業,麒麟太子大飯店,PRINCE HOTEL,039882006-8,39886048,,,262宜蘭縣礁溪鄉礁溪路五段67號,"No.67, Sec. 5, Jiaoxi Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/11/23,95,合法/營業,貴族大旅社,Gui Zu Hotel,39569519,39572723,,,265宜蘭縣羅東鎮中正路186-3號4樓,"4F., No.186-3, Zhongzheng Rd., Luodong Township, Yilan County 265, Taiwan (R.O.C.)"
2004/11/23,96,合法/營業,登園大飯店,DENG YUAN HOTEL,39565402,,,,265宜蘭縣羅東鎮安平路10號,"No.10, Anping Rd., Luodong Township, Yilan County 265, Taiwan (R.O.C.)"
2004/12/30,98,合法/營業,大成大飯店,Dar Chen Hotel,39322952,39362588,,day.chen@msa.hinet.net,"260宜蘭縣宜蘭市新民路31,33,35號1-5樓","No.33, Xinmin Rd., Yilan City, Yilan County 260, Taiwan (R.O.C.)"
2004/12/30,99,合法/停業,川湯溫泉養生館,Chuan Tang Wen Hot Spring Quan Hotel,39880606,39880488,,,262宜蘭縣礁溪鄉中山路二段218號1-3樓,"1F.-3, No.218, Sec. 2, Zhongshan Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/12/30,100,合法/營業,一加一旅館,ONE AND ONE HOTEL,39353872,,http://oneandonehotel.blogspot.tw/,,260宜蘭縣宜蘭市舊城北路13-1號2-4樓,"No.13 -1, Jiucheng N. Rd., Yilan City, Yilan County 260, Taiwan (R.O.C.)"
2005/1/3,102,合法/營業,星鑽大飯店,Xiengzan Hotel,39362111,39362115,,sd.9362111@msa.hinet.net,260宜蘭縣宜蘭市崇聖街63-2號7-8樓,"7-8F., No.63-2, Chongsheng St., Yilan City, Yilan County 260, Taiwan (R.O.C.)"
2005/1/3,103,合法/營業,立崎大飯店,LE CH HOTEL,39563999,39561929,,,265宜蘭縣羅東鎮天津路42號,"No.42, Tianjin Rd., Luodong Township, Yilan County 265, Taiwan (R.O.C.)"
2005/1/3,104,合法/營業,金愛大飯店,JIN AI HOTEL,39576289,39564583,,,265宜蘭縣羅東鎮站前北路77號2-5樓,"No.77, Zhanqian N. Rd., Luodong Township, Yilan County 265, Taiwan (R.O.C.)"
2005/1/3,105,合法/營業,金城客棧,KING TOWN HOTEL,39542169,39563261,http://www.kthotel.com.tw,kth169@yahoo.com.tw,265宜蘭縣羅東鎮公正路60號,"No.60, Gongzheng Rd., Luodong Township, Yilan County 265, Taiwan (R.O.C.)"
2005/1/3,106,合法/營業,天裕大飯店,TIAN YUH HOTEL,39553631,39542581,http://www.tian-yuh.com,tian-yuh@hotmail.com,265宜蘭縣羅東鎮興東南路83號,"No.83, Xingdong S. Rd., Luodong Township, Yilan County 265, Taiwan (R.O.C.)"
2005/1/3,107,合法/營業,福岡商務汽車旅館,Fu Gang Motel,39288060,39288041,http://www.fukun.com.tw,fukuncc@gmail.com,260宜蘭縣宜蘭市筊白里中山路五段259號,"No.259, Sec. 5, Zhongshan Rd., Yilan City, Yilan County 260, Taiwan (R.O.C.)"
2005/1/3,108,合法/營業,阡碩大飯店,Qan Shuo Hotel,39355611,39355613,,chenso.hotel@msa.hinet.net,260宜蘭縣宜蘭市光復路30號5-7樓,"5F.-7, No.30, Guangfu Rd., Yilan City, Yilan County 260, Taiwan (R.O.C.)"
2005/1/3,109,合法/營業,五洲大旅社,WU JHON HOTEL,39330431,39330341,,,"260宜蘭縣宜蘭市光復路34,36號","No.34,36, Guangfu Rd., Yilan City, Yilan County 260, Taiwan (R.O.C.)"
2005/1/3,110,合法/營業,建國大旅社,Jian Guo Hotel,39563388,,,,265宜蘭縣羅東鎮中正路186-4號5樓,"5F., No.186-4, Zhongzheng Rd., Luodong Township, Yilan County 265, Taiwan (R.O.C.)"
2005/1/3,111,合法/營業,金帝旅社,HOTEL GOLDEN KING,39571466,,,,265宜蘭縣羅東鎮中正路186-6號7樓,"7F., No.186-6, Zhongzheng Rd., Luodong Township, Yilan County 265, Taiwan (R.O.C.)"
2005/1/3,112,合法/營業,國城旅社,GUO CHENG HOTEL,039544290-1(可Skype),39566021,http://www.ctnet.com.tw/country/about.htm,,"265宜蘭縣羅東鎮忠孝路51號2-5樓,53號1-5樓(離夜市只要3分鐘)","No.53, Zhongxiao Rd., Luodong Township, Yilan County 265, Taiwan (R.O.C.)"
2005/1/3,113,合法/營業,東洲大旅社,Dong Zhou Hotel,39547085,39574096,,,265宜蘭縣羅東鎮中正路199號,"No.199, Zhongzheng Rd., Luodong Township, Yilan County 265, Taiwan (R.O.C.)"
2005/1/12,114,合法/營業,三光旅社,SAN GUANG HOTEL,39882128,39882129,http://www.sanguang.com.tw,,262宜蘭縣礁溪鄉德陽村礁溪路五段85號,"No.85, Sec. 5, Jiaoxi Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2005/1/12,115,合法/營業,金和成旅社,GOLDEN HCG HOTEL,39354388,39354988,,,260宜蘭縣宜蘭市康樂路30號2-5樓,"No.30, Kangle Rd., Yilan City, Yilan County 260, Taiwan (R.O.C.)"
2005/1/12,116,合法/營業,庭園汽車旅館,Ting Yuan Motel,39870591,,,,262宜蘭縣礁溪鄉白雲村份尾一路2號,"No.2, Fenwei 1st Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2005/1/12,117,合法/營業,日新大飯店,RIH SIN HOTEL,39962531,39953086,,,270宜蘭縣蘇澳鎮江夏路53號,"No.53, Jiangxia Rd., Su-ao Township, Yilan County 270, Taiwan (R.O.C.)"
2005/1/12,119,合法/營業,麗堡大飯店,Li Bao Hotel,39874888,39874999,,hotel@lechamps.com.tw,262宜蘭縣礁溪鄉玉石村礁溪路六段6號3-6樓,"3F.-6, No.6, Sec. 6, Jiaoxi Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2005/1/12,120,合法/營業,麗翔溫泉客棧,Hotel Les Champs (Jiaosi),39874888,39874999,,hotel@leschamps.com.tw,"262宜蘭縣礁溪鄉玉石村礁溪路六段6號1-2,7-9樓","No.6, Section 6, Jiaosi Road, Jiaosi Township, Yilan County 262, Taiwan."
2005/1/13,121,合法/營業,利美溫泉旅館,Li Mei Hotel,39888391,39880314,,,262宜蘭縣礁溪鄉德陽路110號1-4樓,"1F.-4, No.110, Deyang Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2005/1/13,122,合法/營業,亞仕登旅社,Ya Shi Deng Hotel,39870458,,,,262宜蘭縣礁溪鄉忠孝路7號,"No.7, Zhongxiao Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2005/1/13,123,合法/營業,名人旅館,Ming Ren Hotel,39882890,,,,262宜蘭縣礁溪鄉德陽路136號,"No.136, Deyang Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2005/1/14,124,合法/營業,宜泰大飯店,KAVALAN HOTEL,39568488,39568388,http://www.kavalan.com.tw/,service@kavalan.com.tw,265宜蘭縣羅東鎮公正路155號6-13樓,"6-13F., No.155, Gongzheng Rd., Luodong Township, Yilan County 265, Taiwan (R.O.C.)"
2005/1/14,125,合法/營業,新堡汽車旅館,newcastle motel ,39567799,39575588,http://fbmotel.365.com.tw/,,265宜蘭縣羅東鎮竹林里復興路二段238巷19號,"No.19, Ln. 238, Sec. 2, Fuxing Rd., Luodong Township, Yilan County 265, Taiwan (R.O.C.)"
